estimator,function,n_samples_train,n_samples,n_features,parameters_digest,dataset_digest,mean_duration,std_duration,n_iter,iteration_throughput,latency,C,class_weight,dual,fit_intercept,intercept_scaling,l1_ratio,max_iter,multi_class,n_jobs,penalty,random_state,solver,tol,verbose,warm_start,accuracy_score
LogisticRegression,fit,1000000,1000000,100,f11be2529b0a77bc8fb5ee8de141e6b2,09c36ed6521e03974d0c134895f56c01,10.76811330799986,0.36131188521924035,[20],0.0742934232875933,1.076811330799986e-05,1.0,,False,True,1,,100,auto,,l2,,lbfgs,0.0001,0,False,
LogisticRegression,predict,1000000,1000,100,f11be2529b0a77bc8fb5ee8de141e6b2,09c36ed6521e03974d0c134895f56c01,0.0004774532999363146,0.0007349939571979788,[20],1.675556541564816,4.774532999363145e-07,1.0,,False,True,1,,100,auto,,l2,,lbfgs,0.0001,0,False,0.56
LogisticRegression,predict,1000000,1,100,f11be2529b0a77bc8fb5ee8de141e6b2,09c36ed6521e03974d0c134895f56c01,5.7794099984676e-05,2.362953369222583e-05,[20],0.013842243416060091,5.7794099984676e-05,1.0,,False,True,1,,100,auto,,l2,,lbfgs,0.0001,0,False,1.0
LogisticRegression,fit,1000,1000,10000,f11be2529b0a77bc8fb5ee8de141e6b2,7daecaea01e5baa8c862f264e3c1c3b0,0.9632626939001512,0.762306635478444,[26],0.08305107267892652,0.0009632626939001512,1.0,,False,True,1,,100,auto,,l2,,lbfgs,0.0001,0,False,
LogisticRegression,predict,1000,100,10000,f11be2529b0a77bc8fb5ee8de141e6b2,7daecaea01e5baa8c862f264e3c1c3b0,0.0016459250999560026,0.0001953721034944466,[26],4.860488487728785,1.6459250999560027e-05,1.0,,False,True,1,,100,auto,,l2,,lbfgs,0.0001,0,False,0.35
LogisticRegression,predict,1000,1,10000,f11be2529b0a77bc8fb5ee8de141e6b2,7daecaea01e5baa8c862f264e3c1c3b0,7.955569994919643e-05,2.351590206133127e-05,[26],1.0055847670385314,7.955569994919643e-05,1.0,,False,True,1,,100,auto,,l2,,lbfgs,0.0001,0,False,0.0
