estimator,is_onnx,function,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,mean_duration,std_duration,n_iter,best_iteration,iteration_throughput,latency,colsample_bynode,learning_rate,max_bin,max_leaves,min_child_weight,n_estimators,subsample,tree_method,use_label_encoder,validate_parameters,accuracy_score
XGBClassifier,False,fit,100000,100000,100,9cf6d1ab0e05e9e54e776b8e7bdf58fd,62fc4b137de48fa1b9bde10f081865aa,13.845681400999638,0.0,,99,0.005777974928285156,0.0001384568140099964,1.0,1.0,128,30,200,100,0.5,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,9cf6d1ab0e05e9e54e776b8e7bdf58fd,62fc4b137de48fa1b9bde10f081865aa,0.009260092000204168,0.0,,99,0.08639223022647739,9.260092000204168e-06,1.0,1.0,128,30,200,100,0.5,hist,False,True,0.765
XGBClassifier,False,fit,100000,100000,100,6b40475fd5cf2386f01bec5f4e9f89e4,62fc4b137de48fa1b9bde10f081865aa,1.8229610009998396,0.0,,9,0.04388464698702956,1.8229610009998397e-05,1.0,1.0,64,10,10,10,0.8,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,6b40475fd5cf2386f01bec5f4e9f89e4,62fc4b137de48fa1b9bde10f081865aa,0.0022313459999168117,0.0,,9,0.35852799163815263,2.2313459999168118e-06,1.0,1.0,64,10,10,10,0.8,hist,False,True,0.714
XGBClassifier,False,fit,100000,100000,100,492d3548e3ea0fff8371b5a6c93830ab,62fc4b137de48fa1b9bde10f081865aa,63.381944984000256,0.0,,299,0.0012621890984916085,0.0006338194498400026,0.8,1.0,255,30,10,300,0.8,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,492d3548e3ea0fff8371b5a6c93830ab,62fc4b137de48fa1b9bde10f081865aa,0.021348042000226997,0.0,,299,0.03747416273546274,2.1348042000226996e-05,0.8,1.0,255,30,10,300,0.8,hist,False,True,0.799
XGBClassifier,False,fit,100000,100000,100,ad9c91522a7d8ee7f0c82fa8149c78ed,62fc4b137de48fa1b9bde10f081865aa,1.8919266469997638,0.0,,9,0.04228493748785916,1.8919266469997638e-05,1.0,0.1,32,10,2,10,1.0,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,ad9c91522a7d8ee7f0c82fa8149c78ed,62fc4b137de48fa1b9bde10f081865aa,0.0022534470003847673,0.0,,9,0.3550116776047553,2.2534470003847674e-06,1.0,0.1,32,10,2,10,1.0,hist,False,True,0.582
XGBClassifier,False,fit,100000,100000,100,f380b3888c7d9d6f059c690adc7d4738,62fc4b137de48fa1b9bde10f081865aa,2.026134906999687,0.0,,9,0.03948404408986986,2.0261349069996867e-05,0.8,0.5,32,30,2,10,0.5,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,f380b3888c7d9d6f059c690adc7d4738,62fc4b137de48fa1b9bde10f081865aa,0.002452049999646988,0.0,,9,0.32625762122108964,2.452049999646988e-06,0.8,0.5,32,30,2,10,0.5,hist,False,True,0.77
XGBClassifier,False,fit,100000,100000,100,e6107e8d1adb9dc86282ce43adf11bcb,62fc4b137de48fa1b9bde10f081865aa,7.616945150999982,0.0,,99,0.010502898263550879,7.616945150999982e-05,0.8,0.1,128,3,10,100,1.0,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,e6107e8d1adb9dc86282ce43adf11bcb,62fc4b137de48fa1b9bde10f081865aa,0.003830480000033276,0.0,,99,0.20885111004183554,3.830480000033276e-06,0.8,0.1,128,3,10,100,1.0,hist,False,True,0.596
XGBClassifier,False,fit,100000,100000,100,69759b8cbb55b282c6c28db3409c8245,62fc4b137de48fa1b9bde10f081865aa,30.020327956000074,0.0,,299,0.002664860960788093,0.0003002032795600007,0.8,0.05,64,10,2,300,0.8,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,69759b8cbb55b282c6c28db3409c8245,62fc4b137de48fa1b9bde10f081865aa,0.012219151999943278,0.0,,299,0.0654709917679814,1.2219151999943278e-05,0.8,0.05,64,10,2,300,0.8,hist,False,True,0.771
XGBClassifier,False,fit,100000,100000,100,c8239f796b31656c7bc9254fcfe848e8,62fc4b137de48fa1b9bde10f081865aa,1.9684234860001197,0.0,,9,0.040641660988592336,1.9684234860001198e-05,1.0,0.5,32,30,20,10,0.8,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,c8239f796b31656c7bc9254fcfe848e8,62fc4b137de48fa1b9bde10f081865aa,0.009014685999773064,0.0,,9,0.08874407827628596,9.014685999773065e-06,1.0,0.5,32,30,20,10,0.8,hist,False,True,0.764
XGBClassifier,False,fit,100000,100000,100,a5436fea89d5fdbf2847119f8248a299,62fc4b137de48fa1b9bde10f081865aa,1.4816618280001421,0.0,,9,0.05399342716953111,1.481661828000142e-05,0.5,0.01,64,3,200,10,1.0,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,a5436fea89d5fdbf2847119f8248a299,62fc4b137de48fa1b9bde10f081865aa,0.002188745000239578,0.0,,9,0.36550626039690903,2.1887450002395783e-06,0.5,0.01,64,3,200,10,1.0,hist,False,True,0.459
XGBClassifier,False,fit,100000,100000,100,0c9ac771a24bc8cebe96a8d2821cb379,62fc4b137de48fa1b9bde10f081865aa,25.291161575999922,0.0,,299,0.0031631603696651123,0.00025291161575999923,1.0,1.0,255,3,200,300,1.0,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,0c9ac771a24bc8cebe96a8d2821cb379,62fc4b137de48fa1b9bde10f081865aa,0.007824761999927432,0.0,,299,0.10223953137583217,7.824761999927432e-06,1.0,1.0,255,3,200,300,1.0,hist,False,True,0.772
XGBClassifier,False,fit,100000,100000,100,04c0ab1994b1e6b7877455cde8cddc41,62fc4b137de48fa1b9bde10f081865aa,50.80663667600038,0.0,,299,0.0015745974391134956,0.0005080663667600038,0.8,0.1,255,30,10,300,1.0,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,04c0ab1994b1e6b7877455cde8cddc41,62fc4b137de48fa1b9bde10f081865aa,0.01911219500016159,0.0,,299,0.041858091129419524,1.9112195000161593e-05,0.8,0.1,255,30,10,300,1.0,hist,False,True,0.818
XGBClassifier,False,fit,100000,100000,100,2e388b304714e79e0df0b828cc408fea,62fc4b137de48fa1b9bde10f081865aa,10.69175352900038,0.0,,99,0.007482402188098284,0.0001069175352900038,0.5,0.1,32,10,200,100,0.5,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,2e388b304714e79e0df0b828cc408fea,62fc4b137de48fa1b9bde10f081865aa,0.006732439000188606,0.0,,99,0.11882766408690645,6.7324390001886056e-06,0.5,0.1,32,10,200,100,0.5,hist,False,True,0.751
XGBClassifier,False,fit,100000,100000,100,c8f2e75db64c7896cb6b91c20818a8b4,62fc4b137de48fa1b9bde10f081865aa,29.569106863999878,0.0,,299,0.002705526425534323,0.0002956910686399988,1.0,0.05,128,10,10,300,1.0,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,c8f2e75db64c7896cb6b91c20818a8b4,62fc4b137de48fa1b9bde10f081865aa,0.012265052999282489,0.0,,299,0.06522597171384423,1.2265052999282489e-05,1.0,0.05,128,10,10,300,1.0,hist,False,True,0.77
XGBClassifier,False,fit,100000,100000,100,2ba5d2f7047590be9a34a084bdb7afbc,62fc4b137de48fa1b9bde10f081865aa,13.485818692000066,0.0,,99,0.005932157463117672,0.00013485818692000065,1.0,0.5,255,10,100,100,0.5,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,2ba5d2f7047590be9a34a084bdb7afbc,62fc4b137de48fa1b9bde10f081865aa,0.006972643999688444,0.0,,99,0.11473409513460692,6.972643999688444e-06,1.0,0.5,255,10,100,100,0.5,hist,False,True,0.781
XGBClassifier,False,fit,100000,100000,100,d4c857a99fde1f5c6a7d7c1f979e49ff,62fc4b137de48fa1b9bde10f081865aa,31.55477742899984,0.0,,299,0.002535273784770146,0.0003155477742899984,0.8,0.01,32,10,10,300,0.5,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,d4c857a99fde1f5c6a7d7c1f979e49ff,62fc4b137de48fa1b9bde10f081865aa,0.012053049000314786,0.0,,299,0.06637324713266383,1.2053049000314787e-05,0.8,0.01,32,10,10,300,0.5,hist,False,True,0.692
XGBClassifier,False,fit,100000,100000,100,85c6d8c6dd1ddd9044635480cb6255c7,62fc4b137de48fa1b9bde10f081865aa,39.69781082099962,0.0,,299,0.0020152244757456763,0.00039697810820999623,0.8,0.01,64,30,200,300,0.5,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,85c6d8c6dd1ddd9044635480cb6255c7,62fc4b137de48fa1b9bde10f081865aa,0.024539207000088936,0.0,,299,0.032600890485055226,2.4539207000088935e-05,0.8,0.01,64,30,200,300,0.5,hist,False,True,0.757
XGBClassifier,False,fit,100000,100000,100,6928e1b62e189e9de477045ad3a057c5,62fc4b137de48fa1b9bde10f081865aa,3.3627116090001437,0.0,,9,0.023790324387581635,3.362711609000144e-05,1.0,1.0,255,100,10,10,0.5,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,6928e1b62e189e9de477045ad3a057c5,62fc4b137de48fa1b9bde10f081865aa,0.0025701530003061634,0.0,,9,0.31126551606254643,2.5701530003061636e-06,1.0,1.0,255,100,10,10,0.5,hist,False,True,0.789
XGBClassifier,False,fit,100000,100000,100,799626be5492cbfc684cecf3072553b2,62fc4b137de48fa1b9bde10f081865aa,26.867347817000336,0.0,,299,0.0029775920029359924,0.00026867347817000336,0.8,0.5,64,10,100,300,1.0,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,799626be5492cbfc684cecf3072553b2,62fc4b137de48fa1b9bde10f081865aa,0.014713803999256925,0.0,,299,0.054370712022560684,1.4713803999256924e-05,0.8,0.5,64,10,100,300,1.0,hist,False,True,0.798
