estimator,library,function,n_samples_train,n_samples,n_features,parameters_digest,dataset_digest,mean_duration,std_duration,n_iter,iteration_throughput,latency,allow_writing_files,bootstrap_type,border_count,grow_policy,iterations,learning_rate,max_depth,max_leaves,min_data_in_leaf,rsm,subsample,accuracy_score
CatBoostClassifier_lossguide,catboost,predict,100000,1000,100,05b284e09b8a003db014256a29a94d5b,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.021105959999658808,0.0,,0.03790398541515916,2.1105959999658806e-05,False,MVS,32,Lossguide,30,0.5,9,30,10,0.5,1.0,0.741
CatBoostClassifier_lossguide,catboost,fit,100000,100000,100,aace14b592f712e6b69b8ab324f38297,9ce6e5b630c7e4a67a7380e7deb6ff2e,35.98732033399938,0.0,,0.0022230051934269525,0.0003598732033399938,False,MVS,64,Lossguide,300,1.0,8,30,200,0.8,0.5,
CatBoostClassifier_lossguide,catboost,predict,100000,1000,100,aace14b592f712e6b69b8ab324f38297,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.02487720800036186,0.0,,0.032157949557215716,2.487720800036186e-05,False,MVS,64,Lossguide,300,1.0,8,30,200,0.8,0.5,0.723
CatBoostClassifier_lossguide,catboost,fit,100000,100000,100,dcfcc734838b3cf1861b25e4bd48d183,9ce6e5b630c7e4a67a7380e7deb6ff2e,21.628632489000665,0.0,,0.003698800654210771,0.00021628632489000666,False,MVS,32,Lossguide,100,0.5,10,100,200,0.8,0.5,
CatBoostClassifier_lossguide,catboost,predict,100000,1000,100,dcfcc734838b3cf1861b25e4bd48d183,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.02257837900015147,0.0,,0.03543212734601687,2.2578379000151473e-05,False,MVS,32,Lossguide,100,0.5,10,100,200,0.8,0.5,0.771
CatBoostClassifier_lossguide,catboost,fit,100000,100000,100,27e3928b84455a7644cbbcf14e9ef794,9ce6e5b630c7e4a67a7380e7deb6ff2e,3.9582549870001458,0.0,,0.02021092634576072,3.9582549870001455e-05,False,MVS,64,Lossguide,10,0.5,6,30,10,0.8,0.5,
CatBoostClassifier_lossguide,catboost,predict,100000,1000,100,27e3928b84455a7644cbbcf14e9ef794,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.020360950999929628,0.0,,0.03929089559730118,2.0360950999929628e-05,False,MVS,64,Lossguide,10,0.5,6,30,10,0.8,0.5,0.704
CatBoostClassifier_lossguide,catboost,fit,100000,100000,100,14e9efa0d3b91952812372cb73f2cad9,9ce6e5b630c7e4a67a7380e7deb6ff2e,23.255489015999956,0.0,,0.0034400480654248715,0.00023255489015999955,False,MVS,64,Lossguide,300,1.0,5,3,2,0.5,0.8,
CatBoostClassifier_lossguide,catboost,predict,100000,1000,100,14e9efa0d3b91952812372cb73f2cad9,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.022589078999772028,0.0,,0.03541534384859488,2.258907899977203e-05,False,MVS,64,Lossguide,300,1.0,5,3,2,0.5,0.8,0.728
CatBoostClassifier_lossguide,catboost,fit,100000,100000,100,40a7718ceedd4ef83523572b223419b9,9ce6e5b630c7e4a67a7380e7deb6ff2e,11.894775048000156,0.0,,0.006725642114051601,0.00011894775048000156,False,MVS,32,Lossguide,100,0.1,8,10,10,0.5,0.8,
CatBoostClassifier_lossguide,catboost,predict,100000,1000,100,40a7718ceedd4ef83523572b223419b9,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.02162706699982664,0.0,,0.03699068394278395,2.1627066999826637e-05,False,MVS,32,Lossguide,100,0.1,8,10,10,0.5,0.8,0.704
CatBoostClassifier_lossguide,catboost,fit,100000,100000,100,7d6621da68cf79fca64850956b99bddd,9ce6e5b630c7e4a67a7380e7deb6ff2e,13.517497205999462,0.0,,0.005918255338310236,0.00013517497205999462,False,MVS,255,Lossguide,100,1.0,5,100,100,0.5,0.5,
CatBoostClassifier_lossguide,catboost,predict,100000,1000,100,7d6621da68cf79fca64850956b99bddd,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.02161686700037535,0.0,,0.03700813813519364,2.161686700037535e-05,False,MVS,255,Lossguide,100,1.0,5,100,100,0.5,0.5,0.743
CatBoostClassifier_lossguide,catboost,fit,100000,100000,100,446cfee088906fb656838e1ae6ca58b6,9ce6e5b630c7e4a67a7380e7deb6ff2e,3.7738249920003,0.0,,0.021198651280751716,3.7738249920003e-05,False,MVS,128,Lossguide,10,0.05,5,10,200,0.5,0.8,
CatBoostClassifier_lossguide,catboost,predict,100000,1000,100,446cfee088906fb656838e1ae6ca58b6,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.020138748999670497,0.0,,0.03972441386568199,2.0138748999670496e-05,False,MVS,128,Lossguide,10,0.05,5,10,200,0.5,0.8,0.589
CatBoostClassifier_lossguide,catboost,fit,100000,100000,100,54d9a4b8ddd171ecbbe18dce4f605ebf,9ce6e5b630c7e4a67a7380e7deb6ff2e,67.65151690099992,0.0,,0.001182530764492253,0.0006765151690099992,False,MVS,32,Lossguide,300,0.05,5,30,20,0.8,1.0,
CatBoostClassifier_lossguide,catboost,predict,100000,1000,100,54d9a4b8ddd171ecbbe18dce4f605ebf,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.024384800999541767,0.0,,0.03280732124961911,2.4384800999541765e-05,False,MVS,32,Lossguide,300,0.05,5,30,20,0.8,1.0,0.768
CatBoostClassifier_lossguide,catboost,fit,100000,100000,100,fe6bfa4bb74e0918b1e0615140e14ba6,9ce6e5b630c7e4a67a7380e7deb6ff2e,53.563918578000084,0.0,,0.0014935427079238713,0.0005356391857800008,False,MVS,128,Lossguide,100,0.01,9,100,200,1.0,1.0,
CatBoostClassifier_lossguide,catboost,predict,100000,1000,100,fe6bfa4bb74e0918b1e0615140e14ba6,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.02227087500068592,0.0,,0.03592135468298219,2.227087500068592e-05,False,MVS,128,Lossguide,100,0.01,9,100,200,1.0,1.0,0.695
