estimator,function,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,n_iter,mean,stdev,throughput,latency,allow_writing_files,bootstrap_type,border_count,grow_policy,iterations,learning_rate,max_leaves,min_data_in_leaf,rsm,subsample,accuracy_score
CatBoostClassifier,fit,100000,100000,100,fc576287b04ae5674b211d4ca28010fb,cb16edecad38f292756cdc5794a48caa,99,5.018117614000403,0.0,0.7891405312923944,0.00010036235228000805,False,MVS,32,Lossguide,100,0.01,3,2,0.2,0.8,
CatBoostClassifier,predict,100000,1000,100,fc576287b04ae5674b211d4ca28010fb,cb16edecad38f292756cdc5794a48caa,99,0.021505895000700548,0.0,3.6827111820930996,2.1505895000700547e-05,False,MVS,32,Lossguide,100,0.01,3,2,0.2,0.8,0.585
CatBoostClassifier,fit,100000,100000,100,16714cea602da8a5fe64643354c04022,cb16edecad38f292756cdc5794a48caa,29,3.918024308000895,0.0,0.29606758631670416,7.83604861600179e-05,False,MVS,128,Lossguide,30,1.0,3,1000,1.0,0.5,
CatBoostClassifier,predict,100000,1000,100,16714cea602da8a5fe64643354c04022,cb16edecad38f292756cdc5794a48caa,29,0.02026036299957923,0.0,1.1450930074886527,2.026036299957923e-05,False,MVS,128,Lossguide,30,1.0,3,1000,1.0,0.5,0.691
CatBoostClassifier,fit,100000,100000,100,73f1811aba1e300961e52670f7cbc176,cb16edecad38f292756cdc5794a48caa,70,5.1093183100001625,0.0,0.548018312838276,0.00010218636620000325,False,MVS,128,Lossguide,300,0.5,20,10,0.2,0.5,
CatBoostClassifier,predict,100000,1000,100,73f1811aba1e300961e52670f7cbc176,cb16edecad38f292756cdc5794a48caa,70,0.021879691999856732,0.0,2.5594510197111866,2.187969199985673e-05,False,MVS,128,Lossguide,300,0.5,20,10,0.2,0.5,0.747
CatBoostClassifier,fit,100000,100000,100,3fba638b94921da71d7b11a88dc22023,cb16edecad38f292756cdc5794a48caa,29,5.2926381540000875,0.0,0.21917236097527115,0.00010585276308000175,False,MVS,128,Lossguide,30,0.05,20,10,0.8,0.5,
CatBoostClassifier,predict,100000,1000,100,3fba638b94921da71d7b11a88dc22023,cb16edecad38f292756cdc5794a48caa,29,0.020669376999649103,0.0,1.122433443465367,2.0669376999649104e-05,False,MVS,128,Lossguide,30,0.05,20,10,0.8,0.5,0.668
CatBoostClassifier,fit,100000,100000,100,210b1c6bcfb50ef540f2ff2591d751f3,cb16edecad38f292756cdc5794a48caa,299,20.4905443079997,0.0,0.583683860234533,0.00040981088615999394,False,MVS,128,Lossguide,300,0.01,30,20,0.2,1.0,
CatBoostClassifier,predict,100000,1000,100,210b1c6bcfb50ef540f2ff2591d751f3,cb16edecad38f292756cdc5794a48caa,299,0.02477365600043413,0.0,9.655417835615715,2.477365600043413e-05,False,MVS,128,Lossguide,300,0.01,30,20,0.2,1.0,0.688
CatBoostClassifier,fit,100000,100000,100,a5a513b09f701b9ee312f1eb15545c12,cb16edecad38f292756cdc5794a48caa,49,7.576798941000561,0.0,0.25868444118185485,0.00015153597882001121,False,MVS,255,Lossguide,1000,0.5,20,100,0.5,0.9,
CatBoostClassifier,predict,100000,1000,100,a5a513b09f701b9ee312f1eb15545c12,cb16edecad38f292756cdc5794a48caa,49,0.02129079200039996,0.0,1.8411715261350354,2.129079200039996e-05,False,MVS,255,Lossguide,1000,0.5,20,100,0.5,0.9,0.753
CatBoostClassifier,fit,100000,100000,100,73c1b10643535550cd8b3ed42c7fcf3d,cb16edecad38f292756cdc5794a48caa,999,43.91640217999975,0.0,0.9099106032460564,0.000878328043599995,False,MVS,64,Lossguide,1000,0.05,3,10,0.8,0.5,
CatBoostClassifier,predict,100000,1000,100,73c1b10643535550cd8b3ed42c7fcf3d,cb16edecad38f292756cdc5794a48caa,999,0.026303087000087544,0.0,30.384266302937753,2.6303087000087543e-05,False,MVS,64,Lossguide,1000,0.05,3,10,0.8,0.5,0.727
CatBoostClassifier,fit,100000,100000,100,c1caf541b51c0753df09202cc089dfb7,cb16edecad38f292756cdc5794a48caa,132,9.054239239999333,0.0,0.5831522516739229,0.00018108478479998666,False,MVS,128,Lossguide,1000,1.0,3,100,0.9,0.5,
CatBoostClassifier,predict,100000,1000,100,c1caf541b51c0753df09202cc089dfb7,cb16edecad38f292756cdc5794a48caa,132,0.020818083999984083,0.0,5.072512917138808,2.0818083999984082e-05,False,MVS,128,Lossguide,1000,1.0,3,100,0.9,0.5,0.741
CatBoostClassifier,fit,100000,100000,100,95caf95bdc51a61ef1cec79518a976bb,cb16edecad38f292756cdc5794a48caa,99,13.143765953000184,0.0,0.3012835144935074,0.00026287531906000366,False,MVS,255,Lossguide,100,0.01,20,2,0.5,0.9,
CatBoostClassifier,predict,100000,1000,100,95caf95bdc51a61ef1cec79518a976bb,cb16edecad38f292756cdc5794a48caa,99,0.021671299000445288,0.0,3.654603261132277,2.1671299000445286e-05,False,MVS,255,Lossguide,100,0.01,20,2,0.5,0.9,0.656
CatBoostClassifier,fit,100000,100000,100,8f9abd654abf558bab03660f87851b13,cb16edecad38f292756cdc5794a48caa,99,15.449084816999857,0.0,0.25632586311148325,0.00030898169633999717,False,MVS,32,Lossguide,100,0.05,20,1000,0.9,0.8,
CatBoostClassifier,predict,100000,1000,100,8f9abd654abf558bab03660f87851b13,cb16edecad38f292756cdc5794a48caa,99,0.021465094000632234,0.0,3.6897113051388097,2.1465094000632235e-05,False,MVS,32,Lossguide,100,0.05,20,1000,0.9,0.8,0.744
CatBoostClassifier,fit,100000,100000,100,4aa67e5b863b0854497fdebbe8c8c384,cb16edecad38f292756cdc5794a48caa,98,5.562327933999768,0.0,0.7047409010243666,0.00011124655867999536,False,MVS,32,Lossguide,100,0.1,50,2,0.2,0.2,
CatBoostClassifier,predict,100000,1000,100,4aa67e5b863b0854497fdebbe8c8c384,cb16edecad38f292756cdc5794a48caa,98,0.022677816999930656,0.0,3.457122879166003,2.2677816999930657e-05,False,MVS,32,Lossguide,100,0.1,50,2,0.2,0.2,0.732
CatBoostClassifier,fit,100000,100000,100,447c9b64afb66eab0570ce7bdb239c0a,cb16edecad38f292756cdc5794a48caa,999,30.96579143099916,0.0,1.2904562794412202,0.0006193158286199832,False,MVS,128,Lossguide,1000,0.01,3,200,0.8,0.2,
CatBoostClassifier,predict,100000,1000,100,447c9b64afb66eab0570ce7bdb239c0a,cb16edecad38f292756cdc5794a48caa,999,0.02694749399961438,0.0,29.657674291028197,2.694749399961438e-05,False,MVS,128,Lossguide,1000,0.01,3,200,0.8,0.2,0.669
