estimator,library,function,n_samples_train,n_samples,n_features,parameters_digest,dataset_digest,mean_duration,std_duration,n_iter,iteration_throughput,latency,allow_writing_files,bootstrap_type,border_count,grow_policy,iterations,learning_rate,max_depth,min_data_in_leaf,rsm,subsample,accuracy_score
CatBoostClassifier_symmetric,catboost,predict,100000,1000,100,e061968bc64b8a64befeff0a8d673c82,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.02014972699998907,0.0,,0.03970277115915436,2.014972699998907e-05,False,MVS,64,SymmetricTree,30,0.01,4,20,0.8,1.0,0.594
CatBoostClassifier_symmetric,catboost,fit,100000,100000,100,19d06639e6172a6d39d7daa1d73320ee,9ce6e5b630c7e4a67a7380e7deb6ff2e,11.026587239000037,0.0,,0.007255191317676902,0.00011026587239000037,False,MVS,128,SymmetricTree,100,1.0,6,100,0.5,0.5,
CatBoostClassifier_symmetric,catboost,predict,100000,1000,100,19d06639e6172a6d39d7daa1d73320ee,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.020723132000057376,0.0,,0.038604203264148734,2.0723132000057377e-05,False,MVS,128,SymmetricTree,100,1.0,6,100,0.5,0.5,0.731
CatBoostClassifier_symmetric,catboost,fit,100000,100000,100,d77881b9bcec1e7a14ff7c53fa44671d,9ce6e5b630c7e4a67a7380e7deb6ff2e,13.705577545000779,0.0,,0.005837039682372281,0.00013705577545000778,False,MVS,64,SymmetricTree,100,0.05,6,100,1.0,0.8,
CatBoostClassifier_symmetric,catboost,predict,100000,1000,100,d77881b9bcec1e7a14ff7c53fa44671d,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.021517587000744243,0.0,,0.03717888999228073,2.1517587000744244e-05,False,MVS,64,SymmetricTree,100,0.05,6,100,1.0,0.8,0.739
CatBoostClassifier_symmetric,catboost,fit,100000,100000,100,2abb9b4daa872cd1f7b56e8b13b95881,9ce6e5b630c7e4a67a7380e7deb6ff2e,12.956903975000387,0.0,,0.0061743144932119185,0.00012956903975000386,False,MVS,32,SymmetricTree,100,1.0,5,20,0.8,1.0,
CatBoostClassifier_symmetric,catboost,predict,100000,1000,100,2abb9b4daa872cd1f7b56e8b13b95881,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.02061455599960027,0.0,,0.0388075299810247,2.061455599960027e-05,False,MVS,32,SymmetricTree,100,1.0,5,20,0.8,1.0,0.765
CatBoostClassifier_symmetric,catboost,fit,100000,100000,100,867de1ed3688643ede44161ac3c20253,9ce6e5b630c7e4a67a7380e7deb6ff2e,18.868355445000816,0.0,,0.004239903166610954,0.00018868355445000816,False,MVS,64,SymmetricTree,30,0.5,10,100,1.0,0.8,
CatBoostClassifier_symmetric,catboost,predict,100000,1000,100,867de1ed3688643ede44161ac3c20253,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.02070855500005564,0.0,,0.03863137722539552,2.070855500005564e-05,False,MVS,64,SymmetricTree,30,0.5,10,100,1.0,0.8,0.786
CatBoostClassifier_symmetric,catboost,fit,100000,100000,100,cf4db85f255897b7d092cb9faf4eed4c,9ce6e5b630c7e4a67a7380e7deb6ff2e,71.92808004500057,0.0,,0.0011122220967103441,0.0007192808004500057,False,MVS,128,SymmetricTree,100,0.05,10,20,0.8,1.0,
CatBoostClassifier_symmetric,catboost,predict,100000,1000,100,cf4db85f255897b7d092cb9faf4eed4c,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.021694065000701812,0.0,,0.036876445238553476,2.169406500070181e-05,False,MVS,128,SymmetricTree,100,0.05,10,20,0.8,1.0,0.788
CatBoostClassifier_symmetric,catboost,fit,100000,100000,100,c6539a061946ac38ab075c881f8cf3a6,9ce6e5b630c7e4a67a7380e7deb6ff2e,32.879844721000154,0.0,,0.002433101514889591,0.00032879844721000155,False,MVS,64,SymmetricTree,300,0.01,5,200,0.8,0.8,
CatBoostClassifier_symmetric,catboost,predict,100000,1000,100,c6539a061946ac38ab075c881f8cf3a6,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.020834755000578298,0.0,,0.038397379761739216,2.08347550005783e-05,False,MVS,64,SymmetricTree,300,0.01,5,200,0.8,0.8,0.691
CatBoostClassifier_symmetric,catboost,fit,100000,100000,100,d35b96bdcfe4cd165111912e40d2270e,9ce6e5b630c7e4a67a7380e7deb6ff2e,6.088410696999745,0.0,,0.01313971806130334,6.0884106969997444e-05,False,MVS,64,SymmetricTree,10,0.05,10,2,0.8,0.5,
CatBoostClassifier_symmetric,catboost,predict,100000,1000,100,d35b96bdcfe4cd165111912e40d2270e,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.020284049000110826,0.0,,0.03943985739709212,2.0284049000110827e-05,False,MVS,64,SymmetricTree,10,0.05,10,2,0.8,0.5,0.712
