estimator,library,function,n_samples_train,n_samples,n_features,parameters_digest,dataset_digest,mean_duration,std_duration,n_iter,iteration_throughput,latency,algorithm,n_jobs,n_neighbors,accuracy_score
KNeighborsClassifier_brute_force,sklearnex,fit,100000,100000,2,e70d8e7886766d41f30889506baa1e67,df4ee97ec3fb44546f53e3d9b36158c1,0.00826218200004405,0.00029783950808330453,,0.19365344408916066,8.26218200004405e-08,brute,-1,1,
KNeighborsClassifier_brute_force,sklearnex,predict,100000,1000,2,e70d8e7886766d41f30889506baa1e67,df4ee97ec3fb44546f53e3d9b36158c1,0.025808468700029154,0.00026398396388915493,,0.0006199515432692807,2.5808468700029154e-05,brute,-1,1,0.845
KNeighborsClassifier_brute_force,sklearnex,predict,100000,1,2,e70d8e7886766d41f30889506baa1e67,df4ee97ec3fb44546f53e3d9b36158c1,0.0007435092000150689,0.00013520866192690597,,2.1519572319583566e-05,0.0007435092000150689,brute,-1,1,1.0
KNeighborsClassifier_brute_force,sklearnex,fit,100000,100000,2,22d5eac4a4146149b35eae6914921514,df4ee97ec3fb44546f53e3d9b36158c1,0.00833164289999786,0.0002784793865283854,,0.19203895548624764,8.33164289999786e-08,brute,-1,5,
KNeighborsClassifier_brute_force,sklearnex,predict,100000,1000,2,22d5eac4a4146149b35eae6914921514,df4ee97ec3fb44546f53e3d9b36158c1,0.027211867299956793,0.0011256639774604059,,0.0005879787602824818,2.7211867299956792e-05,brute,-1,5,0.883
KNeighborsClassifier_brute_force,sklearnex,predict,100000,1,2,22d5eac4a4146149b35eae6914921514,df4ee97ec3fb44546f53e3d9b36158c1,0.0009528917999659825,0.0003443528527066581,,1.679099347960722e-05,0.0009528917999659825,brute,-1,5,1.0
KNeighborsClassifier_brute_force,sklearnex,fit,100000,100000,2,2d5f2b2c02d77766434d9e5033b4a76c,df4ee97ec3fb44546f53e3d9b36158c1,0.008813419300008719,0.0008526472926046978,,0.18154134570658828,8.813419300008719e-08,brute,-1,100,
KNeighborsClassifier_brute_force,sklearnex,predict,100000,1000,2,2d5f2b2c02d77766434d9e5033b4a76c,df4ee97ec3fb44546f53e3d9b36158c1,0.06278141820000656,0.0035349268099221765,,0.00025485247799002936,6.278141820000656e-05,brute,-1,100,0.887
KNeighborsClassifier_brute_force,sklearnex,predict,100000,1,2,2d5f2b2c02d77766434d9e5033b4a76c,df4ee97ec3fb44546f53e3d9b36158c1,0.0008260203000190813,0.00014716510825153685,,1.936998400599888e-05,0.0008260203000190813,brute,-1,100,1.0
KNeighborsClassifier_brute_force,sklearnex,fit,100000,100000,2,16f94fc93942ff7ece860c9b0f64645f,df4ee97ec3fb44546f53e3d9b36158c1,0.00869720769999276,0.0001651608511385255,,0.1839670909551041,8.69720769999276e-08,brute,1,100,
KNeighborsClassifier_brute_force,sklearnex,predict,100000,1000,2,16f94fc93942ff7ece860c9b0f64645f,df4ee97ec3fb44546f53e3d9b36158c1,0.06060867110006711,0.00038167495110715135,,0.0002639886291778848,6.060867110006711e-05,brute,1,100,0.887
KNeighborsClassifier_brute_force,sklearnex,predict,100000,1,2,16f94fc93942ff7ece860c9b0f64645f,df4ee97ec3fb44546f53e3d9b36158c1,0.0008258902999614293,0.00013383581596919391,,1.9373032956976526e-05,0.0008258902999614293,brute,1,100,1.0
KNeighborsClassifier_brute_force,sklearnex,fit,100000,100000,2,efac583623711d395ddae7a1e881ff68,df4ee97ec3fb44546f53e3d9b36158c1,0.008745518400041874,0.0001824279536171035,,0.1829508471438742,8.745518400041874e-08,brute,1,5,
KNeighborsClassifier_brute_force,sklearnex,predict,100000,1000,2,efac583623711d395ddae7a1e881ff68,df4ee97ec3fb44546f53e3d9b36158c1,0.026931813800001692,0.00019276943736483003,,0.0005940929236633515,2.693181380000169e-05,brute,1,5,0.883
KNeighborsClassifier_brute_force,sklearnex,predict,100000,1,2,efac583623711d395ddae7a1e881ff68,df4ee97ec3fb44546f53e3d9b36158c1,0.0007154689000117287,0.00014704335359395763,,2.2362956656449652e-05,0.0007154689000117287,brute,1,5,1.0
