estimator,function,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,n_iter,mean,stdev,throughput,latency,algorithm,n_jobs,n_neighbors,accuracy_score
KNeighborsClassifier,fit,1000000,1000000,2,e70d8e7886766d41f30889506baa1e67,4ce588ed31896f6cfe33968c228fa691,,0.10185224199994991,0.0,0.15709030734942359,1.0185224199994991e-07,brute,-1,1,
KNeighborsClassifier,predict,1000000,1000,2,e70d8e7886766d41f30889506baa1e67,4ce588ed31896f6cfe33968c228fa691,,1.025468481900043,0.026524364878234667,1.5602624831876198e-05,0.001025468481900043,brute,-1,1,0.973
KNeighborsClassifier,predict,1000000,1,2,e70d8e7886766d41f30889506baa1e67,4ce588ed31896f6cfe33968c228fa691,,0.004946840200091174,0.0004889613402253377,3.234387882532593e-06,0.004946840200091174,brute,-1,1,1.0
KNeighborsClassifier,fit,1000000,1000000,2,b79d63bb7670c492de5c3befac58fe29,4ce588ed31896f6cfe33968c228fa691,,0.10697808399982023,0.0,0.1495633442082108,1.0697808399982022e-07,brute,1,1,
KNeighborsClassifier,predict,1000000,1000,2,b79d63bb7670c492de5c3befac58fe29,4ce588ed31896f6cfe33968c228fa691,,1.0172959197999716,0.01537618667612285,1.5727970287294616e-05,0.0010172959197999715,brute,1,1,0.973
KNeighborsClassifier,predict,1000000,1,2,b79d63bb7670c492de5c3befac58fe29,4ce588ed31896f6cfe33968c228fa691,,0.00512691289995928,0.0003243845114962598,3.1207863898228263e-06,0.00512691289995928,brute,1,1,1.0
KNeighborsClassifier,fit,1000000,1000000,2,16f94fc93942ff7ece860c9b0f64645f,4ce588ed31896f6cfe33968c228fa691,,0.10572688199999902,0.0,0.15133331937283603,1.0572688199999902e-07,brute,1,100,
KNeighborsClassifier,predict,1000000,1000,2,16f94fc93942ff7ece860c9b0f64645f,4ce588ed31896f6cfe33968c228fa691,,1.1044697264000205,0.014965305238808723,1.4486589915100187e-05,0.0011044697264000205,brute,1,100,0.987
KNeighborsClassifier,predict,1000000,1,2,16f94fc93942ff7ece860c9b0f64645f,4ce588ed31896f6cfe33968c228fa691,,0.005129682400001912,0.0005302181838118422,3.1191014866717746e-06,0.005129682400001912,brute,1,100,1.0
KNeighborsClassifier,fit,1000000,1000000,2,2d5f2b2c02d77766434d9e5033b4a76c,4ce588ed31896f6cfe33968c228fa691,,0.11252034900007857,0.0,0.142196501718892,1.1252034900007856e-07,brute,-1,100,
KNeighborsClassifier,predict,1000000,1000,2,2d5f2b2c02d77766434d9e5033b4a76c,4ce588ed31896f6cfe33968c228fa691,,1.1108248017000732,0.025590414659166054,1.440371152634748e-05,0.0011108248017000734,brute,-1,100,0.987
KNeighborsClassifier,predict,1000000,1,2,2d5f2b2c02d77766434d9e5033b4a76c,4ce588ed31896f6cfe33968c228fa691,,0.005019770999933826,0.00029167054142573406,3.1873963972083436e-06,0.005019770999933826,brute,-1,100,1.0
