estimator,library,function,n_samples_train,n_samples,n_features,parameters_digest,dataset_digest,mean_duration,std_duration,n_iter,iteration_throughput,latency,algorithm,n_jobs,n_neighbors,accuracy_score
KNeighborsClassifier_brute_force,sklearn,fit,100000,100000,2,16f94fc93942ff7ece860c9b0f64645f,df4ee97ec3fb44546f53e3d9b36158c1,0.004274483200003942,0.00020700726329217047,,0.37431425628214526,4.274483200003942e-08,brute,1,100,
KNeighborsClassifier_brute_force,sklearn,predict,100000,1000,2,16f94fc93942ff7ece860c9b0f64645f,df4ee97ec3fb44546f53e3d9b36158c1,2.0707967408999934,0.0036684649349162596,,7.72649467907034e-06,0.0020707967408999934,brute,1,100,0.887
KNeighborsClassifier_brute_force,sklearn,predict,100000,1,2,16f94fc93942ff7ece860c9b0f64645f,df4ee97ec3fb44546f53e3d9b36158c1,0.002890805499998805,0.00018923727708141497,,5.534789524928818e-06,0.002890805499998805,brute,1,100,1.0
KNeighborsClassifier_brute_force,sklearn,fit,100000,100000,2,2d5f2b2c02d77766434d9e5033b4a76c,df4ee97ec3fb44546f53e3d9b36158c1,0.004265562200009754,0.00020087542256146617,,0.3750970973993396,4.265562200009754e-08,brute,-1,100,
KNeighborsClassifier_brute_force,sklearn,predict,100000,1000,2,2d5f2b2c02d77766434d9e5033b4a76c,df4ee97ec3fb44546f53e3d9b36158c1,2.827477632,0.01635739834131918,,5.658753872681388e-06,0.0028274776319999998,brute,-1,100,0.887
KNeighborsClassifier_brute_force,sklearn,predict,100000,1,2,2d5f2b2c02d77766434d9e5033b4a76c,df4ee97ec3fb44546f53e3d9b36158c1,0.00845959569999195,0.0022147763660192795,,1.8913433416227238e-06,0.00845959569999195,brute,-1,100,1.0
KNeighborsClassifier_brute_force,sklearn,fit,100000,100000,2,efac583623711d395ddae7a1e881ff68,df4ee97ec3fb44546f53e3d9b36158c1,0.00429109359999984,0.00020599495743317588,,0.3728653227233402,4.29109359999984e-08,brute,1,5,
KNeighborsClassifier_brute_force,sklearn,predict,100000,1000,2,efac583623711d395ddae7a1e881ff68,df4ee97ec3fb44546f53e3d9b36158c1,2.0551443159999963,0.0037901858727861365,,7.78534133853013e-06,0.002055144315999996,brute,1,5,0.883
KNeighborsClassifier_brute_force,sklearn,predict,100000,1,2,efac583623711d395ddae7a1e881ff68,df4ee97ec3fb44546f53e3d9b36158c1,0.002906855500009442,0.00018341347964067646,,5.504229570389043e-06,0.002906855500009442,brute,1,5,1.0
KNeighborsClassifier_brute_force,sklearn,fit,100000,100000,2,b79d63bb7670c492de5c3befac58fe29,df4ee97ec3fb44546f53e3d9b36158c1,0.004286172499973873,0.00020177824067487953,,0.3732934220472352,4.286172499973873e-08,brute,1,1,
KNeighborsClassifier_brute_force,sklearn,predict,100000,1000,2,b79d63bb7670c492de5c3befac58fe29,df4ee97ec3fb44546f53e3d9b36158c1,1.0858389845000147,0.0018157086784045943,,1.4735149712245189e-05,0.0010858389845000147,brute,1,1,0.845
KNeighborsClassifier_brute_force,sklearn,predict,100000,1,2,b79d63bb7670c492de5c3befac58fe29,df4ee97ec3fb44546f53e3d9b36158c1,0.001868933100013237,0.00020700793072360495,,8.561034100089873e-06,0.001868933100013237,brute,1,1,1.0
