estimator,function,n_samples_train,n_samples,n_features,parameters_digest,dataset_digest,mean_duration,std_duration,n_iter,iteration_throughput,latency,alpha,copy_X,fit_intercept,max_iter,normalize,random_state,solver,tol,r2_score
Ridge,fit,1000,1000,10000,a70ae8dc5c059ec88cf27c61016aee2a,14fae294d530397144c65ba3209bf125,0.29292534910005086,0.005738802242915764,,0.27310712523099323,0.0002929253491000509,1.0,True,True,,deprecated,,auto,0.001,
Ridge,predict,1000,1000,10000,a70ae8dc5c059ec88cf27c61016aee2a,14fae294d530397144c65ba3209bf125,0.019528742099919328,0.002251290993802903,,4.096526012309337,1.9528742099919327e-05,1.0,True,True,,deprecated,,auto,0.001,0.12219087013002417
Ridge,predict,1000,1,10000,a70ae8dc5c059ec88cf27c61016aee2a,14fae294d530397144c65ba3209bf125,0.00014474550002887553,3.316138758831771e-05,,0.5526942114541776,0.00014474550002887553,1.0,True,True,,deprecated,,auto,0.001,
Ridge,fit,1000000,1000000,100,a70ae8dc5c059ec88cf27c61016aee2a,8a1dce349e38e2f00d7fcf903bd7409a,0.41602933269987263,0.24198018661100124,,1.9229413339879264,4.1602933269987263e-07,1.0,True,True,,deprecated,,auto,0.001,
Ridge,predict,1000000,1000,100,a70ae8dc5c059ec88cf27c61016aee2a,8a1dce349e38e2f00d7fcf903bd7409a,0.00037685440001951066,0.0004953218783996729,,2.122835768823668,3.768544000195107e-07,1.0,True,True,,deprecated,,auto,0.001,0.9999999999989927
Ridge,predict,1000000,1,100,a70ae8dc5c059ec88cf27c61016aee2a,8a1dce349e38e2f00d7fcf903bd7409a,0.00010933409994322574,2.297587251017309e-05,,0.00731702186614623,0.00010933409994322574,1.0,True,True,,deprecated,,auto,0.001,
