estimator,function,n_samples_train,n_samples,n_features,parameters_digest,dataset_digest,mean_duration,std_duration,n_iter,iteration_throughput,latency,learning_rate,max_bins,max_iter,max_leaf_nodes,min_samples_leaf,n_iter_no_change,accuracy_score
HistGradientBoostingClassifier_best,fit,100000,100000,100,25b9f14bed7dd5d830c6ccd4dfebbf0c,8c8fffa8ec4b2d8de833421f9e32beab,102.93591158500021,0.0,300,0.0007771826058385787,0.0010293591158500022,0.01,255,300,100,100,10,
HistGradientBoostingClassifier_best,predict,100000,1000,100,25b9f14bed7dd5d830c6ccd4dfebbf0c,8c8fffa8ec4b2d8de833421f9e32beab,0.16307292039996354,0.0027965171048203504,300,0.004905780788360609,0.00016307292039996355,0.01,255,300,100,100,10,0.824
HistGradientBoostingClassifier_best,predict,100000,1,100,25b9f14bed7dd5d830c6ccd4dfebbf0c,8c8fffa8ec4b2d8de833421f9e32beab,0.018299271899968515,0.0007766568629740394,300,4.3717586381203313e-05,0.018299271899968515,0.01,255,300,100,100,10,1.0
