estimator,function,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,n_iter,best_iteration,mean_duration,std_duration,iteration_throughput,latency,algorithm,n_jobs,n_neighbors,is_onnx,accuracy_score
KNeighborsClassifier_kd_tree,fit,1000,1000,2,a9455565db1d8e052a783317c99744ff,6fb8eab1c9eaa3cfb3024a33da84c63f,,,0.005769866000264301,0.0,0.0027730280043361645,5.769866000264301e-06,kd_tree,1,1,,
KNeighborsClassifier_kd_tree,predict,1000,1000,2,a9455565db1d8e052a783317c99744ff,6fb8eab1c9eaa3cfb3024a33da84c63f,,,0.000488055699997858,0.00014517454826211095,0.032783143399555056,4.88055699997858e-07,kd_tree,1,1,False,0.898
KNeighborsClassifier_kd_tree,predict,1000,1,2,a9455565db1d8e052a783317c99744ff,6fb8eab1c9eaa3cfb3024a33da84c63f,,,0.00011695139996845683,9.631969866351269e-05,0.00013680896512838144,0.00011695139996845683,kd_tree,1,1,False,1.0
KNeighborsClassifier_kd_tree,fit,1000,1000,2,022f7445d43bb1dbc24dc3106c03cb93,6fb8eab1c9eaa3cfb3024a33da84c63f,,,0.00408684700005324,0.0,0.003914998530601113,4.08684700005324e-06,kd_tree,-1,100,,
KNeighborsClassifier_kd_tree,predict,1000,1000,2,022f7445d43bb1dbc24dc3106c03cb93,6fb8eab1c9eaa3cfb3024a33da84c63f,,,0.004700922000029095,0.00030126079084662183,0.0034035876366170234,4.700922000029095e-06,kd_tree,-1,100,False,0.909
KNeighborsClassifier_kd_tree,predict,1000,1,2,022f7445d43bb1dbc24dc3106c03cb93,6fb8eab1c9eaa3cfb3024a33da84c63f,,,0.00012624159999177209,9.730754583943979e-05,0.00012674110595115091,0.00012624159999177209,kd_tree,-1,100,False,1.0
KNeighborsClassifier_kd_tree,fit,1000,1000,2,fe8267e25dadb302ed498e50fabf7ef4,6fb8eab1c9eaa3cfb3024a33da84c63f,,,0.005033765999996831,0.0,0.0031785347193353988,5.033765999996831e-06,kd_tree,-1,1,,
KNeighborsClassifier_kd_tree,predict,1000,1000,2,fe8267e25dadb302ed498e50fabf7ef4,6fb8eab1c9eaa3cfb3024a33da84c63f,,,0.00045788610009367403,0.000171289269015001,0.03494318782930238,4.5788610009367403e-07,kd_tree,-1,1,False,0.898
KNeighborsClassifier_kd_tree,predict,1000,1,2,fe8267e25dadb302ed498e50fabf7ef4,6fb8eab1c9eaa3cfb3024a33da84c63f,,,0.00011936160003642727,0.00011252548276122752,0.00013404646046230156,0.00011936160003642727,kd_tree,-1,1,False,1.0
KNeighborsClassifier_kd_tree,fit,1000,1000,2,84622ba45e941db642965553529e1941,6fb8eab1c9eaa3cfb3024a33da84c63f,,,0.0042770559998643876,0.0,0.00374089093070264,4.277055999864387e-06,kd_tree,1,5,,
KNeighborsClassifier_kd_tree,predict,1000,1000,2,84622ba45e941db642965553529e1941,6fb8eab1c9eaa3cfb3024a33da84c63f,,,0.0007703501999458239,0.00012329054764956417,0.020769774579308505,7.703501999458239e-07,kd_tree,1,5,False,0.905
KNeighborsClassifier_kd_tree,predict,1000,1,2,84622ba45e941db642965553529e1941,6fb8eab1c9eaa3cfb3024a33da84c63f,,,0.0001178915999844321,9.931162615078436e-05,0.00013571789679767552,0.0001178915999844321,kd_tree,1,5,False,1.0
KNeighborsClassifier_kd_tree,fit,1000,1000,2,41accfcdcd5c50784bedf6164b63de99,6fb8eab1c9eaa3cfb3024a33da84c63f,,,0.003933052000320458,0.0,0.004068087581526089,3.933052000320458e-06,kd_tree,1,100,,
KNeighborsClassifier_kd_tree,predict,1000,1000,2,41accfcdcd5c50784bedf6164b63de99,6fb8eab1c9eaa3cfb3024a33da84c63f,,,0.004704262000041126,0.000365072376412739,0.0034011711082121117,4.704262000041126e-06,kd_tree,1,100,False,0.909
KNeighborsClassifier_kd_tree,predict,1000,1,2,41accfcdcd5c50784bedf6164b63de99,6fb8eab1c9eaa3cfb3024a33da84c63f,,,0.00013174169994272232,9.952473092861343e-05,0.00012144977639544928,0.00013174169994272232,kd_tree,1,100,False,1.0
