estimator,library,function,n_samples_train,n_samples,n_features,parameters_digest,dataset_digest,mean_duration,std_duration,n_iter,iteration_throughput,latency,algorithm,n_jobs,n_neighbors,accuracy_score
KNeighborsClassifier_kd_tree,sklearn,predict,1000,1,2,84622ba45e941db642965553529e1941,e07b6cf59f4e5d866f64bd3a6e7aa097,0.0005943535999449523,0.00016682937781875955,,2.6920001833053396e-05,0.0005943535999449523,kd_tree,1,5,1.0
KNeighborsClassifier_kd_tree,sklearn,fit,1000,1000,2,dc74b969bf622bc24ba3bc62c980983b,e07b6cf59f4e5d866f64bd3a6e7aa097,0.0005311331999109826,8.801301447157799e-05,,0.030124270150466186,5.311331999109826e-07,kd_tree,-1,5,
KNeighborsClassifier_kd_tree,sklearn,predict,1000,1000,2,dc74b969bf622bc24ba3bc62c980983b,e07b6cf59f4e5d866f64bd3a6e7aa097,0.02175550079991808,0.0006437049853317083,,0.0007354461819633335,2.175550079991808e-05,kd_tree,-1,5,0.923
KNeighborsClassifier_kd_tree,sklearn,predict,1000,1,2,dc74b969bf622bc24ba3bc62c980983b,e07b6cf59f4e5d866f64bd3a6e7aa097,0.002061452400039343,0.0003635550232725239,,7.761518044120077e-06,0.002061452400039343,kd_tree,-1,5,1.0
KNeighborsClassifier_kd_tree,sklearn,fit,1000,1000,2,fe8267e25dadb302ed498e50fabf7ef4,e07b6cf59f4e5d866f64bd3a6e7aa097,0.0005289831999562011,9.260783448155522e-05,,0.03024670727033443,5.289831999562012e-07,kd_tree,-1,1,
KNeighborsClassifier_kd_tree,sklearn,predict,1000,1000,2,fe8267e25dadb302ed498e50fabf7ef4,e07b6cf59f4e5d866f64bd3a6e7aa097,0.02064692650001234,0.0007345433683640121,,0.0007749337413484006,2.064692650001234e-05,kd_tree,-1,1,0.895
KNeighborsClassifier_kd_tree,sklearn,predict,1000,1,2,fe8267e25dadb302ed498e50fabf7ef4,e07b6cf59f4e5d866f64bd3a6e7aa097,0.0020253051999134185,0.00031696957236925264,,7.900043904831724e-06,0.0020253051999134185,kd_tree,-1,1,1.0
KNeighborsClassifier_kd_tree,sklearn,fit,1000,1000,2,a9455565db1d8e052a783317c99744ff,e07b6cf59f4e5d866f64bd3a6e7aa097,0.0005303864999859798,0.00010275985557284156,,0.03016668033674112,5.303864999859798e-07,kd_tree,1,1,
KNeighborsClassifier_kd_tree,sklearn,predict,1000,1000,2,a9455565db1d8e052a783317c99744ff,e07b6cf59f4e5d866f64bd3a6e7aa097,0.018370888299887155,0.00017941020933073386,,0.0008709431867863613,1.8370888299887154e-05,kd_tree,1,1,0.895
KNeighborsClassifier_kd_tree,sklearn,predict,1000,1,2,a9455565db1d8e052a783317c99744ff,e07b6cf59f4e5d866f64bd3a6e7aa097,0.0006113076000474393,0.00018790299834381568,,2.6173402716992805e-05,0.0006113076000474393,kd_tree,1,1,1.0
KNeighborsClassifier_kd_tree,sklearn,fit,1000,1000,2,41accfcdcd5c50784bedf6164b63de99,e07b6cf59f4e5d866f64bd3a6e7aa097,0.000531626599968149,9.856722602843277e-05,,0.03009631196211513,5.316265999681491e-07,kd_tree,1,100,
KNeighborsClassifier_kd_tree,sklearn,predict,1000,1000,2,41accfcdcd5c50784bedf6164b63de99,e07b6cf59f4e5d866f64bd3a6e7aa097,0.03314296709995688,0.00015599233321139436,,0.00048275701906063854,3.314296709995688e-05,kd_tree,1,100,0.919
KNeighborsClassifier_kd_tree,sklearn,predict,1000,1,2,41accfcdcd5c50784bedf6164b63de99,e07b6cf59f4e5d866f64bd3a6e7aa097,0.0006156890999591269,0.00015206017395472847,,2.598714188875875e-05,0.0006156890999591269,kd_tree,1,100,1.0
KNeighborsClassifier_kd_tree,sklearn,fit,1000,1000,2,022f7445d43bb1dbc24dc3106c03cb93,e07b6cf59f4e5d866f64bd3a6e7aa097,0.0005332478998752776,0.00010488969822551342,,0.03000480640194227,5.332478998752776e-07,kd_tree,-1,100,
KNeighborsClassifier_kd_tree,sklearn,predict,1000,1000,2,022f7445d43bb1dbc24dc3106c03cb93,e07b6cf59f4e5d866f64bd3a6e7aa097,0.03346460489997298,0.0004165221026595923,,0.0004781171045594182,3.346460489997298e-05,kd_tree,-1,100,0.919
KNeighborsClassifier_kd_tree,sklearn,predict,1000,1,2,022f7445d43bb1dbc24dc3106c03cb93,e07b6cf59f4e5d866f64bd3a6e7aa097,0.0020553104000100575,0.000350847193137413,,7.784712226397388e-06,0.0020553104000100575,kd_tree,-1,100,1.0
