estimator,function,n_samples_train,n_samples,n_features,parameters_digest,dataset_digest,mean_duration,std_duration,n_iter,iteration_throughput,latency,alpha,copy_X,fit_intercept,max_iter,normalize,random_state,solver,tol,r2_score
Ridge,fit,1000,1000,10000,a70ae8dc5c059ec88cf27c61016aee2a,14fae294d530397144c65ba3209bf125,0.27068085800005975,0.005588270290270921,,0.29555100641798,0.00027068085800005976,1.0,True,True,,deprecated,,auto,0.001,
Ridge,predict,1000,1000,10000,a70ae8dc5c059ec88cf27c61016aee2a,14fae294d530397144c65ba3209bf125,0.012039963599954717,0.0009563460532387219,,6.644538360589469,1.2039963599954718e-05,1.0,True,True,,deprecated,,auto,0.001,0.0869066038818318
Ridge,predict,1000,1,10000,a70ae8dc5c059ec88cf27c61016aee2a,14fae294d530397144c65ba3209bf125,0.00010331359985684684,5.447194270168737e-05,,0.7743414236930029,0.00010331359985684684,1.0,True,True,,deprecated,,auto,0.001,
Ridge,fit,1000000,1000000,100,a70ae8dc5c059ec88cf27c61016aee2a,8a1dce349e38e2f00d7fcf903bd7409a,1.2524111188000462,0.05191069184839463,,0.6387678837972086,1.2524111188000463e-06,1.0,True,True,,deprecated,,auto,0.001,
Ridge,predict,1000000,1000,100,a70ae8dc5c059ec88cf27c61016aee2a,8a1dce349e38e2f00d7fcf903bd7409a,0.00017804620006245386,7.799311762919304e-05,,4.4932158042091395,1.7804620006245387e-07,1.0,True,True,,deprecated,,auto,0.001,0.999999999998999
Ridge,predict,1000000,1,100,a70ae8dc5c059ec88cf27c61016aee2a,8a1dce349e38e2f00d7fcf903bd7409a,8.563289998164691e-05,4.9791302422987035e-05,,0.009342203757801712,8.563289998164691e-05,1.0,True,True,,deprecated,,auto,0.001,
