estimator,function,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,mean,stdev,throughput,latency,algorithm,n_jobs,n_neighbors,accuracy_score
KNeighborsClassifier,fit,1000000,1000000,2,22d5eac4a4146149b35eae6914921514,4ce588ed31896f6cfe33968c228fa691,0.10801293699978487,0.0,0.14813040404624742,1.0801293699978487e-07,brute,-1,5,
KNeighborsClassifier,predict,1000000,1000,2,22d5eac4a4146149b35eae6914921514,4ce588ed31896f6cfe33968c228fa691,1.0029122209999515,0.011431258756246508,1.595353976646853e-05,0.0010029122209999515,brute,-1,5,0.982
KNeighborsClassifier,predict,1000000,1,2,22d5eac4a4146149b35eae6914921514,4ce588ed31896f6cfe33968c228fa691,0.004716096899937838,0.0003408718929114169,3.3926359740850304e-06,0.004716096899937838,brute,-1,5,1.0
KNeighborsClassifier,fit,1000000,1000000,2,efac583623711d395ddae7a1e881ff68,4ce588ed31896f6cfe33968c228fa691,0.10742404199982047,0.0,0.14894244995944894,1.0742404199982047e-07,brute,1,5,
KNeighborsClassifier,predict,1000000,1000,2,efac583623711d395ddae7a1e881ff68,4ce588ed31896f6cfe33968c228fa691,0.996160274299973,0.006775412062020954,1.606167241636252e-05,0.000996160274299973,brute,1,5,0.982
KNeighborsClassifier,predict,1000000,1,2,efac583623711d395ddae7a1e881ff68,4ce588ed31896f6cfe33968c228fa691,0.004750173699949301,0.00028659270978943747,3.3682978793324486e-06,0.004750173699949301,brute,1,5,1.0
KNeighborsClassifier,fit,1000000,1000000,2,b79d63bb7670c492de5c3befac58fe29,4ce588ed31896f6cfe33968c228fa691,0.10821703999999954,0.0,0.14785102235285744,1.0821703999999955e-07,brute,1,1,
KNeighborsClassifier,predict,1000000,1000,2,b79d63bb7670c492de5c3befac58fe29,4ce588ed31896f6cfe33968c228fa691,1.000630566000018,0.015226479531305886,1.5989917301806378e-05,0.001000630566000018,brute,1,1,0.971
KNeighborsClassifier,predict,1000000,1,2,b79d63bb7670c492de5c3befac58fe29,4ce588ed31896f6cfe33968c228fa691,0.0046458350000193605,0.0002894536050136402,3.443944952830508e-06,0.0046458350000193605,brute,1,1,1.0
KNeighborsClassifier,fit,1000000,1000000,2,16f94fc93942ff7ece860c9b0f64645f,4ce588ed31896f6cfe33968c228fa691,0.11118543800012048,0.0,0.14390373674637735,1.1118543800012049e-07,brute,1,100,
KNeighborsClassifier,predict,1000000,1000,2,16f94fc93942ff7ece860c9b0f64645f,4ce588ed31896f6cfe33968c228fa691,1.1034983451000244,0.02337025792470657,1.4499342088772875e-05,0.0011034983451000244,brute,1,100,0.986
KNeighborsClassifier,predict,1000000,1,2,16f94fc93942ff7ece860c9b0f64645f,4ce588ed31896f6cfe33968c228fa691,0.005387870599906819,0.000709186360018948,2.969633309359121e-06,0.005387870599906819,brute,1,100,1.0
