estimator,is_onnx,function,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,mean_duration,std_duration,n_iter,best_iteration,iteration_throughput,latency,learning_rate,max_bins,max_iter,max_leaf_nodes,min_samples_leaf,n_iter_no_change,accuracy_score
HistGradientBoostingClassifier,True,predict,100000,1000,100,4585ea51e1885aeed29be33786ee17ce,62fc4b137de48fa1b9bde10f081865aa,0.002448926999932155,0.0,10,,0.3266736819930374,2.448926999932155e-06,0.05,32,10,3,200,10,0.582
HistGradientBoostingClassifier,False,predict,100000,1000,100,4585ea51e1885aeed29be33786ee17ce,62fc4b137de48fa1b9bde10f081865aa,0.0021867249997740146,0.0,10,,0.3658438990191612,2.1867249997740144e-06,0.05,32,10,3,200,10,0.582
HistGradientBoostingClassifier,False,fit,100000,100000,100,cdbf5beb767308c73aaba9a638052f9a,62fc4b137de48fa1b9bde10f081865aa,31.249541679999766,0.0,100,,0.0025600375461250794,0.00031249541679999766,0.05,255,100,100,20,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,cdbf5beb767308c73aaba9a638052f9a,62fc4b137de48fa1b9bde10f081865aa,0.12193286799993075,0.0,100,,0.0065609873131209735,0.00012193286799993075,0.05,255,100,100,20,10,0.861
HistGradientBoostingClassifier,False,predict,100000,1000,100,cdbf5beb767308c73aaba9a638052f9a,62fc4b137de48fa1b9bde10f081865aa,0.034031881999908364,0.0,100,,0.02350736876679797,3.4031881999908364e-05,0.05,255,100,100,20,10,0.861
HistGradientBoostingClassifier,False,fit,100000,100000,100,dda0719a2e819ae5a93d939321910160,62fc4b137de48fa1b9bde10f081865aa,20.975209266999627,0.0,300,,0.0038140263099002442,0.00020975209266999628,0.05,32,300,3,2,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,dda0719a2e819ae5a93d939321910160,62fc4b137de48fa1b9bde10f081865aa,0.023278659999959928,0.0,300,,0.034366239293901674,2.3278659999959927e-05,0.05,32,300,3,2,10,0.731
HistGradientBoostingClassifier,False,predict,100000,1000,100,dda0719a2e819ae5a93d939321910160,62fc4b137de48fa1b9bde10f081865aa,0.043073881000054826,0.0,300,,0.018572740171682738,4.307388100005482e-05,0.05,32,300,3,2,10,0.731
HistGradientBoostingClassifier,False,fit,100000,100000,100,e4f2e565801ab8e1d81304909ebafcc2,62fc4b137de48fa1b9bde10f081865aa,3.240818424000281,0.0,10,,0.024685122562729873,3.240818424000281e-05,0.01,128,10,30,100,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,e4f2e565801ab8e1d81304909ebafcc2,62fc4b137de48fa1b9bde10f081865aa,0.005585462999988522,0.0,10,,0.1432289498653279,5.585462999988522e-06,0.01,128,10,30,100,10,0.758
HistGradientBoostingClassifier,False,predict,100000,1000,100,e4f2e565801ab8e1d81304909ebafcc2,62fc4b137de48fa1b9bde10f081865aa,0.006358470999657584,0.0,10,,0.12581641090178466,6.3584709996575836e-06,0.01,128,10,30,100,10,0.758
