estimator,is_onnx,function,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,mean_duration,std_duration,n_iter,best_iteration,iteration_throughput,latency,learning_rate,max_bins,max_iter,max_leaf_nodes,min_samples_leaf,n_iter_no_change,accuracy_score
HistGradientBoostingClassifier,True,predict,100000,1000,100,2c02d101d31b9859ead81295520c7da0,62fc4b137de48fa1b9bde10f081865aa,0.014505960999940726,0.0,30,,0.055149741544408465,1.4505960999940726e-05,0.05,128,30,30,200,10,0.825
HistGradientBoostingClassifier,False,predict,100000,1000,100,2c02d101d31b9859ead81295520c7da0,62fc4b137de48fa1b9bde10f081865aa,0.009556540000176028,0.0,30,,0.08371230591670879,9.556540000176029e-06,0.05,128,30,30,200,10,0.825
HistGradientBoostingClassifier,False,fit,100000,100000,100,4a67a05b1e07b39caf469184cca5c5ab,62fc4b137de48fa1b9bde10f081865aa,8.355147649000173,0.0,106,,0.009574935520089017,8.355147649000174e-05,0.5,64,300,3,100,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,4a67a05b1e07b39caf469184cca5c5ab,62fc4b137de48fa1b9bde10f081865aa,0.008968955999989703,0.0,106,,0.08919655754816039,8.968955999989703e-06,0.5,64,300,3,100,10,0.799
HistGradientBoostingClassifier,False,predict,100000,1000,100,4a67a05b1e07b39caf469184cca5c5ab,62fc4b137de48fa1b9bde10f081865aa,0.023904351000055613,0.0,106,,0.03346671072551348,2.3904351000055613e-05,0.5,64,300,3,100,10,0.799
HistGradientBoostingClassifier,False,fit,100000,100000,100,1ae234d99f0f931d38575c300c9eb33f,62fc4b137de48fa1b9bde10f081865aa,2.5102229250001074,0.0,10,,0.03186967946282961,2.5102229250001074e-05,0.5,32,10,10,100,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,1ae234d99f0f931d38575c300c9eb33f,62fc4b137de48fa1b9bde10f081865aa,0.003328720999888901,0.0,10,,0.2403325481548921,3.328720999888901e-06,0.5,32,10,10,100,10,0.797
HistGradientBoostingClassifier,False,predict,100000,1000,100,1ae234d99f0f931d38575c300c9eb33f,62fc4b137de48fa1b9bde10f081865aa,0.002937818999726005,0.0,10,,0.2723108537573662,2.937818999726005e-06,0.5,32,10,10,100,10,0.797
HistGradientBoostingClassifier,False,fit,100000,100000,100,c0a27af58e4e6c66e8ea48484a9f9cab,62fc4b137de48fa1b9bde10f081865aa,2.8392318400001386,0.0,11,,0.02817663526906492,2.8392318400001387e-05,1.0,255,100,10,200,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,c0a27af58e4e6c66e8ea48484a9f9cab,62fc4b137de48fa1b9bde10f081865aa,0.0035052220000579837,0.0,11,,0.2282309080528327,3.5052220000579837e-06,1.0,255,100,10,200,10,0.659
HistGradientBoostingClassifier,False,predict,100000,1000,100,c0a27af58e4e6c66e8ea48484a9f9cab,62fc4b137de48fa1b9bde10f081865aa,0.00277231700010816,0.0,11,,0.2885672886501755,2.7723170001081597e-06,1.0,255,100,10,200,10,0.659
HistGradientBoostingClassifier,False,fit,100000,100000,100,c4ab6387004aac584851b3d58300a1c5,62fc4b137de48fa1b9bde10f081865aa,3.8887858549996963,0.0,30,,0.020571973614115672,3.888785854999696e-05,0.05,255,30,3,200,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,c4ab6387004aac584851b3d58300a1c5,62fc4b137de48fa1b9bde10f081865aa,0.004329726999912964,0.0,30,,0.18476915519525403,4.329726999912964e-06,0.05,255,30,3,200,10,0.615
HistGradientBoostingClassifier,False,predict,100000,1000,100,c4ab6387004aac584851b3d58300a1c5,62fc4b137de48fa1b9bde10f081865aa,0.0055898350001371,0.0,30,,0.14311692563025183,5.5898350001371e-06,0.05,255,30,3,200,10,0.615
HistGradientBoostingClassifier,False,fit,100000,100000,100,2a9983a5bfc6f8d6af5994034b6e8892,62fc4b137de48fa1b9bde10f081865aa,32.97176183300007,0.0,300,,0.002426318630020289,0.00032971761833000074,0.01,32,300,10,2,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,2a9983a5bfc6f8d6af5994034b6e8892,62fc4b137de48fa1b9bde10f081865aa,0.059868526000173006,0.0,300,,0.01336261393837704,5.986852600017301e-05,0.01,32,300,10,2,10,0.77
HistGradientBoostingClassifier,False,predict,100000,1000,100,2a9983a5bfc6f8d6af5994034b6e8892,62fc4b137de48fa1b9bde10f081865aa,0.07824945699985619,0.0,300,,0.010223713117925793,7.824945699985619e-05,0.01,32,300,10,2,10,0.77
HistGradientBoostingClassifier,False,fit,100000,100000,100,070f6005e9a389f9b67cb3dc3ebe952e,62fc4b137de48fa1b9bde10f081865aa,6.123025030999997,0.0,30,,0.013065437360613663,6.123025030999998e-05,0.01,32,30,30,2,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,070f6005e9a389f9b67cb3dc3ebe952e,62fc4b137de48fa1b9bde10f081865aa,0.014107599999988452,0.0,30,,0.05670702316486538,1.4107599999988452e-05,0.01,32,30,30,2,10,0.781
HistGradientBoostingClassifier,False,predict,100000,1000,100,070f6005e9a389f9b67cb3dc3ebe952e,62fc4b137de48fa1b9bde10f081865aa,0.008319957999901817,0.0,30,,0.096154331549443,8.319957999901817e-06,0.01,32,30,30,2,10,0.781
HistGradientBoostingClassifier,False,fit,100000,100000,100,2ad89599f9dd7b696e0c2e0567dcc670,62fc4b137de48fa1b9bde10f081865aa,3.790534274000038,0.0,30,,0.02110520423169222,3.790534274000038e-05,0.1,255,30,3,200,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,2ad89599f9dd7b696e0c2e0567dcc670,62fc4b137de48fa1b9bde10f081865aa,0.004145527000218863,0.0,30,,0.1929790832282033,4.145527000218862e-06,0.1,255,30,3,200,10,0.626
HistGradientBoostingClassifier,False,predict,100000,1000,100,2ad89599f9dd7b696e0c2e0567dcc670,62fc4b137de48fa1b9bde10f081865aa,0.00530563499978598,0.0,30,,0.15078308252118186,5.30563499978598e-06,0.1,255,30,3,200,10,0.626
HistGradientBoostingClassifier,False,fit,100000,100000,100,f59292e86186a983b2d7d39b919c0874,62fc4b137de48fa1b9bde10f081865aa,11.407474034000188,0.0,100,,0.007012946052873626,0.00011407474034000187,0.05,32,100,10,20,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,f59292e86186a983b2d7d39b919c0874,62fc4b137de48fa1b9bde10f081865aa,0.020350195999981224,0.0,100,,0.03931166068379578,2.0350195999981226e-05,0.05,32,100,10,20,10,0.806
HistGradientBoostingClassifier,False,predict,100000,1000,100,f59292e86186a983b2d7d39b919c0874,62fc4b137de48fa1b9bde10f081865aa,0.02176810299988574,0.0,100,,0.036751020518609234,2.1768102999885743e-05,0.05,32,100,10,20,10,0.806
HistGradientBoostingClassifier,False,fit,100000,100000,100,d26ec2f68d34e83cd3ebef4f8b14467b,62fc4b137de48fa1b9bde10f081865aa,3.1657441779998408,0.0,10,,0.02527051950563645,3.1657441779998406e-05,0.5,128,10,30,200,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,d26ec2f68d34e83cd3ebef4f8b14467b,62fc4b137de48fa1b9bde10f081865aa,0.005841341000177636,0.0,10,,0.13695485334201032,5.8413410001776355e-06,0.5,128,10,30,200,10,0.825
HistGradientBoostingClassifier,False,predict,100000,1000,100,d26ec2f68d34e83cd3ebef4f8b14467b,62fc4b137de48fa1b9bde10f081865aa,0.00466653299963582,0.0,10,,0.1714334817866782,4.6665329996358194e-06,0.5,128,10,30,200,10,0.825
HistGradientBoostingClassifier,False,fit,100000,100000,100,88efeb2a9429e0af21a89752448d8b28,62fc4b137de48fa1b9bde10f081865aa,2.692949704000057,0.0,11,,0.029707201690833476,2.692949704000057e-05,1.0,128,100,10,20,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,88efeb2a9429e0af21a89752448d8b28,62fc4b137de48fa1b9bde10f081865aa,0.0034107209999092447,0.0,11,,0.23455451208741115,3.410720999909245e-06,1.0,128,100,10,20,10,0.699
HistGradientBoostingClassifier,False,predict,100000,1000,100,88efeb2a9429e0af21a89752448d8b28,62fc4b137de48fa1b9bde10f081865aa,0.0026103160003003723,0.0,11,,0.30647630398309744,2.610316000300372e-06,1.0,128,100,10,20,10,0.699
HistGradientBoostingClassifier,False,fit,100000,100000,100,eae42d67f44090a39a748ef28cffb712,62fc4b137de48fa1b9bde10f081865aa,2.8057686029997058,0.0,10,,0.02851268629724858,2.8057686029997058e-05,0.05,128,10,10,2,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,eae42d67f44090a39a748ef28cffb712,62fc4b137de48fa1b9bde10f081865aa,0.0036281220000091707,0.0,10,,0.22049975166159735,3.6281220000091706e-06,0.05,128,10,10,2,10,0.705
HistGradientBoostingClassifier,False,predict,100000,1000,100,eae42d67f44090a39a748ef28cffb712,62fc4b137de48fa1b9bde10f081865aa,0.002775816999928793,0.0,10,,0.2882034370495325,2.775816999928793e-06,0.05,128,10,10,2,10,0.705
HistGradientBoostingClassifier,False,fit,100000,100000,100,ce84ed9c752b5523329e1e53047cde9d,62fc4b137de48fa1b9bde10f081865aa,2.876159760000064,0.0,11,,0.02781486658446199,2.876159760000064e-05,1.0,255,30,10,100,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,ce84ed9c752b5523329e1e53047cde9d,62fc4b137de48fa1b9bde10f081865aa,0.0034781130002556893,0.0,11,,0.23000977827379068,3.478113000255689e-06,1.0,255,30,10,100,10,0.558
HistGradientBoostingClassifier,False,predict,100000,1000,100,ce84ed9c752b5523329e1e53047cde9d,62fc4b137de48fa1b9bde10f081865aa,0.002656010000009701,0.0,11,,0.3012036852259886,2.656010000009701e-06,1.0,255,30,10,100,10,0.558
HistGradientBoostingClassifier,False,fit,100000,100000,100,e5a3618045451fe88eb6b15bf5f6eedf,62fc4b137de48fa1b9bde10f081865aa,15.91334030500002,0.0,100,,0.005027228631242415,0.0001591334030500002,0.05,32,100,30,200,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,e5a3618045451fe88eb6b15bf5f6eedf,62fc4b137de48fa1b9bde10f081865aa,0.04446470099992439,0.0,100,,0.017991799832441476,4.446470099992439e-05,0.05,32,100,30,200,10,0.85
HistGradientBoostingClassifier,False,predict,100000,1000,100,e5a3618045451fe88eb6b15bf5f6eedf,62fc4b137de48fa1b9bde10f081865aa,0.038197858999865275,0.0,100,,0.020943582204511035,3.819785899986528e-05,0.05,32,100,30,200,10,0.85
HistGradientBoostingClassifier,False,fit,100000,100000,100,17d19c85f38bc358da3cf42b44c8c12e,62fc4b137de48fa1b9bde10f081865aa,4.969275758000094,0.0,30,,0.016098925456331757,4.969275758000094e-05,0.01,32,30,10,200,10,
HistGradientBoostingClassifier,True,predict,100000,1000,100,17d19c85f38bc358da3cf42b44c8c12e,62fc4b137de48fa1b9bde10f081865aa,0.007521851000092283,0.0,30,,0.10635679967473233,7.5218510000922835e-06,0.01,32,30,10,200,10,0.704
