estimator,function,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,mean,stdev,throughput,latency,algorithm,n_jobs,n_neighbors,accuracy_score
KNeighborsClassifier,fit,1000000,1000000,2,22d5eac4a4146149b35eae6914921514,4ce588ed31896f6cfe33968c228fa691,0.0613483509996513,0.0,0.26080570609128423,6.13483509996513e-08,brute,-1,5,
KNeighborsClassifier,predict,1000000,1000,2,22d5eac4a4146149b35eae6914921514,4ce588ed31896f6cfe33968c228fa691,33.25361307999992,0.0,4.811507237276136e-07,0.033253613079999925,brute,-1,5,0.989
KNeighborsClassifier,predict,1000000,1,2,22d5eac4a4146149b35eae6914921514,4ce588ed31896f6cfe33968c228fa691,0.025731760200005737,0.001423491780725715,6.21799669965696e-07,0.025731760200005737,brute,-1,5,1.0
KNeighborsClassifier,fit,1000000,1000000,2,2d5f2b2c02d77766434d9e5033b4a76c,4ce588ed31896f6cfe33968c228fa691,0.06078176200026064,0.0,0.2632368571337466,6.078176200026064e-08,brute,-1,100,
KNeighborsClassifier,predict,1000000,1000,2,2d5f2b2c02d77766434d9e5033b4a76c,4ce588ed31896f6cfe33968c228fa691,33.40097532400023,0.0,4.790279279211113e-07,0.03340097532400023,brute,-1,100,0.991
KNeighborsClassifier,predict,1000000,1,2,2d5f2b2c02d77766434d9e5033b4a76c,4ce588ed31896f6cfe33968c228fa691,0.025956910500099184,0.0012062715576109128,6.164061782290641e-07,0.025956910500099184,brute,-1,100,1.0
KNeighborsClassifier,fit,1000000,1000000,2,e70d8e7886766d41f30889506baa1e67,4ce588ed31896f6cfe33968c228fa691,0.061385063999750855,0.0,0.26064972417500354,6.138506399975085e-08,brute,-1,1,
KNeighborsClassifier,predict,1000000,1000,2,e70d8e7886766d41f30889506baa1e67,4ce588ed31896f6cfe33968c228fa691,21.87896156109996,0.09741593361587131,7.312961337455543e-07,0.02187896156109996,brute,-1,1,0.983
KNeighborsClassifier,predict,1000000,1,2,e70d8e7886766d41f30889506baa1e67,4ce588ed31896f6cfe33968c228fa691,0.019874006700001702,0.0009816885465896519,8.050716818968683e-07,0.019874006700001702,brute,-1,1,1.0
KNeighborsClassifier,fit,1000000,1000000,2,16f94fc93942ff7ece860c9b0f64645f,4ce588ed31896f6cfe33968c228fa691,0.061379469000257814,0.0,0.26067348350525477,6.137946900025782e-08,brute,1,100,
KNeighborsClassifier,predict,1000000,1000,2,16f94fc93942ff7ece860c9b0f64645f,4ce588ed31896f6cfe33968c228fa691,22.41915734590002,0.04033740931798662,7.136753515370663e-07,0.022419157345900022,brute,1,100,0.991
KNeighborsClassifier,predict,1000000,1,2,16f94fc93942ff7ece860c9b0f64645f,4ce588ed31896f6cfe33968c228fa691,0.0207512155999666,0.0005304504952736792,7.710391674609054e-07,0.0207512155999666,brute,1,100,1.0
